,artist_name,track_name,Genre,mode,duration_ms,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
44,dolly parton,once in a very blue moon,Country,1,225093,4,0.499,0.224,7,-13.899,0.0286,0.644,2.34e-05,0.136,0.101,68.966
45,aaron tippin,at the end of the day,Country,1,199227,4,0.576,0.705,2,-5.548,0.0288,0.281,0.0,0.255,0.728,79.441
46,david houston,gonna lay down my burdens,Country,1,183693,4,0.383,0.316,7,-9.602,0.0321,0.911,0.0,0.141,0.634,134.767
47,george strait,beyond the blue neon,Country,1,176533,4,0.688,0.326,0,-12.563,0.028,0.541,3.1e-05,0.276,0.481,95.076
48,gene autry,amapola,Country,1,146787,5,0.53,0.0973,7,-14.437,0.041,0.826,0.0,0.312,0.447,80.312
49,carolyn dawn johnson,we talked,Country,1,224893,4,0.491,0.598,0,-6.031,0.0267,0.112,0.00108,0.253,0.199,145.975
50,catherine britt,in the pines,Country,1,225680,3,0.387,0.268,1,-10.739,0.0311,0.438,0.0,0.119,0.301,89.707
51,doc walker,i am,Country,1,242387,4,0.664,0.65,1,-9.939,0.0385,0.0396,0.0,0.316,0.505,121.976
52,gillian welch,elvis presley blues,Country,1,293693,4,0.522,0.12,2,-11.9,0.036,0.922,0.0,0.11,0.237,154.357
53,amanda wilkinson,gone from love too long,Country,1,262387,4,0.447,0.551,5,-6.59,0.026,0.149,0.0,0.22,0.413,146.804
54,buck owens,here comes santa claus again,Country,1,128733,4,0.667,0.403,5,-11.958,0.029,0.359,1.06e-05,0.0943,0.966,74.928
55,charlie landsborough,the twelfth of never,Country,1,229200,4,0.539,0.355,8,-10.543,0.0293,0.366,0.0202,0.319,0.194,78.041
56,clay walker,this time love,Country,1,231773,4,0.435,0.36,7,-12.328,0.0265,0.299,0.0,0.104,0.381,79.095
57,cassadee pope,summer,Country,1,189480,4,0.469,0.844,5,-4.155,0.0477,0.095,0.0,0.275,0.692,72.955
58,brenn hill,rewin the west,Country,1,214635,3,0.612,0.566,8,-7.586,0.0272,0.777,3.41e-06,0.158,0.577,140.009
59,craig morgan,paradise,Country,1,216307,5,0.576,0.356,4,-8.767,0.0307,0.321,0.0,0.0693,0.515,76.724
60,chris cagle,the love between a woman and a man,Country,1,232000,4,0.407,0.783,0,-7.69,0.0686,0.276,6.72e-06,0.067,0.543,171.82
61,alan jackson,had it not been you,Country,1,241720,4,0.578,0.27,5,-10.354,0.0281,0.843,6.02e-05,0.112,0.291,84.331
62,dolly parton,could i have your autograph,Country,1,197200,4,0.661,0.774,8,-13.073,0.0345,0.431,0.0,0.126,0.587,111.831
63,chris ledoux,soft place to fall,Country,1,202333,4,0.623,0.555,3,-11.72,0.0274,0.355,8.18e-06,0.133,0.43,124.021
64,cowboy junkies,brothers under the bridge,Country,1,239440,4,0.537,0.333,5,-16.003,0.0287,0.613,0.00371,0.0818,0.389,114.068
65,corb lund,this is my prairie,Country,1,228933,3,0.583,0.149,2,-11.537,0.0325,0.81,3.16e-05,0.2,0.148,105.888
66,allison moorer,back of my mind,Country,1,258953,4,0.567,0.8,1,-5.446,0.0267,0.114,0.00348,0.0673,0.231,111.017
67,charlie daniels,trudy,Country,1,289267,4,0.698,0.856,9,-8.403,0.0444,0.388,0.0,0.139,0.831,101.28
68,billy walker,wabash cannonball,Country,1,142400,4,0.739,0.457,7,-13.935,0.0338,0.56,0.0,0.0726,0.942,105.799
69,diamond rio,into your hands,Country,1,248000,3,0.293,0.624,0,-5.58,0.0359,0.527,0.0,0.365,0.231,161.99
70,dustin kensrue,i believe,Country,0,165920,4,0.782,0.538,6,-6.507,0.0382,0.258,0.0,0.101,0.865,105.768
71,eli young band,i love you,Country,1,200987,4,0.446,0.406,0,-5.988,0.0313,0.0377,0.0367,0.104,0.17,143.96
72,emmylou harris,six white cadillacs,Country,1,198907,4,0.791,0.643,2,-9.884,0.0394,0.0281,0.0103,0.347,0.963,130.06
73,connie smith,let it be me,Country,1,200013,4,0.452,0.295,10,-10.492,0.0258,0.901,1.24e-06,0.115,0.494,94.462
74,ernest tubb,goodnight irene,Country,1,181200,4,0.721,0.283,6,-10.259,0.029,0.86,0.0,0.68,0.599,75.463
75,david nail,missouri,Country,1,242800,4,0.392,0.547,7,-4.696,0.027,0.22,0.000414,0.153,0.186,141.18
76,brad paisley,away in a manger,Country,1,286240,3,0.51,0.53,7,-6.626,0.0247,0.477,1.27e-05,0.376,0.402,87.492
77,alan jackson,a love like that,Country,1,208267,4,0.766,0.569,2,-9.647,0.0307,0.145,2.55e-06,0.19,0.65,117.762
78,dolly parton,dumb blonde,Country,1,150447,4,0.621,0.565,7,-8.033,0.0311,0.659,0.0,0.116,0.775,79.922
79,bleu edmondson,finger on the trigger,Country,1,347951,4,0.397,0.723,0,-6.678,0.0315,0.00403,0.0102,0.127,0.235,164.184
80,fred eaglesmith,tricks,Country,1,221427,3,0.68,0.636,0,-6.78,0.0346,0.034,0.172,0.0801,0.774,134.042
81,dolly parton,my blue tears,Country,1,137507,4,0.541,0.443,3,-10.808,0.025,0.72,0.000179,0.161,0.828,104.437
82,bill anderson,i can do nothing alone,Country,1,217613,3,0.562,0.4,3,-11.331,0.0235,0.21,8.05e-05,0.0788,0.381,90.113
83,carl smith,softly and tenderly,Country,1,136373,3,0.561,0.13,5,-10.27,0.0268,0.86,0.0,0.0949,0.299,100.822
84,don gibson,maybe tomorrow,Country,1,145787,1,0.619,0.213,0,-16.087,0.0335,0.841,0.00495,0.279,0.361,101.822
85,george jones,dream on,Country,1,204880,3,0.648,0.174,4,-17.414,0.0309,0.583,7.72e-06,0.0918,0.361,139.253
86,ernest tubb,mean mama blues,Country,1,176293,4,0.79,0.221,0,-11.485,0.0475,0.935,1.47e-05,0.105,0.602,130.925
87,dwight yoakam,waterfall,Country,1,217720,4,0.851,0.448,2,-10.044,0.0924,0.281,4.78e-06,0.107,0.63,110.011
88,charlie louvin,lonesome is me,Country,1,152400,4,0.607,0.365,7,-11.722,0.0286,0.842,0.000268,0.224,0.442,112.229
89,dolly parton,go to hell,Country,1,418667,4,0.537,0.648,1,-7.993,0.215,0.357,0.0,0.318,0.612,114.47
90,dwight yoakam,little sister,Country,1,183827,4,0.63,0.906,4,-8.283,0.0463,0.389,0.0041,0.111,0.882,144.108
91,don gibson,beautiful dreamer,Country,1,162507,5,0.4,0.109,0,-19.667,0.0323,0.975,0.0971,0.116,0.143,92.603
92,clint black,that something in my life,Country,1,172307,3,0.261,0.452,7,-6.819,0.0311,0.251,0.0,0.288,0.444,83.234
93,claude king,green mountain,Country,1,222707,4,0.621,0.391,7,-13.289,0.0449,0.858,0.0,0.146,0.572,89.447
94,beth nielsen chapman,walk my way,Country,1,332000,4,0.765,0.556,0,-10.702,0.0392,0.236,0.0868,0.0627,0.74,93.767
95,david ball,down at the bottom of a broken heart,Country,1,184493,3,0.613,0.629,4,-10.443,0.0344,0.353,0.0,0.223,0.755,78.396
96,dean brody,love would be enough,Country,1,174389,4,0.673,0.826,7,-3.869,0.0284,0.111,0.0,0.0875,0.535,128.974
97,chris ledoux,bareback jack,Country,1,191253,4,0.5,0.904,4,-4.339,0.0717,0.0787,2.11e-05,0.0826,0.894,190.038
98,diamond rio,bubba hyde,Country,0,224973,4,0.742,0.516,2,-9.775,0.0375,0.331,7.39e-06,0.0579,0.743,116.234
99,allison moorer,yessirree,Country,1,326000,4,0.494,0.522,7,-7.961,0.0264,0.0273,9.24e-06,0.139,0.284,150.054
100,buck owens,corn liquor,Country,1,160027,4,0.529,0.784,9,-7.114,0.0366,0.178,4.01e-05,0.314,0.967,152.085
101,dwight yoakam,a place to cry,Country,0,275733,4,0.534,0.919,11,-2.807,0.0373,0.145,0.0408,0.0427,0.904,95.583
102,bobbie gentry,penduli pendulum,Country,1,116622,3,0.483,0.242,7,-13.851,0.0326,0.84,0.0,0.394,0.586,84.608
103,george jones,how proud i would have been,Country,1,160200,1,0.403,0.231,7,-13.689,0.0309,0.873,0.0,0.118,0.467,111.811
104,david houston,i walk alone,Country,1,217053,1,0.422,0.277,0,-12.722,0.0269,0.794,0.0017,0.0916,0.4,95.638
105,george jones,back down to hung up on you,Country,1,219733,3,0.587,0.395,3,-8.786,0.0263,0.611,0.0,0.0961,0.342,75.982
106,dierks bentley,with the band,Country,0,226720,4,0.636,0.911,2,-2.954,0.046,0.327,2e-06,0.097,0.805,145.968
107,alan jackson,dixie highway,Country,1,444800,4,0.628,0.868,0,-8.176,0.0495,0.0688,9.28e-05,0.146,0.506,109.957
108,allison moorer,the broken girl,Country,0,216200,4,0.6,0.673,1,-5.988,0.0269,0.0364,4.72e-06,0.251,0.778,119.379
109,george strait,here for a good time,Country,1,180267,4,0.596,0.768,6,-6.753,0.0369,0.0858,6.23e-06,0.116,0.532,127.93
110,connie smith,same as mine,Country,1,133520,4,0.471,0.352,2,-9.712,0.0322,0.493,0.0,0.0997,0.754,120.762
111,buck owens,then maybe i can get some sleep,Country,1,179573,4,0.896,0.311,5,-11.12,0.042,0.555,0.0,0.0716,0.967,119.569
112,buck owens,eternal vacation,Country,1,177627,3,0.594,0.463,8,-7.656,0.0273,0.359,0.00323,0.0896,0.756,145.103
113,allison moorer,best that i can do,Country,1,203373,4,0.5,0.586,7,-6.693,0.0241,0.208,6.26e-05,0.102,0.233,97.782
114,brett eldredge,shadow,Country,0,159840,4,0.42,0.897,0,-3.661,0.0656,0.00793,2.94e-05,0.376,0.35,145.618
115,brandi carlile,hard way home,Country,1,201493,4,0.726,0.667,10,-4.072,0.0491,0.482,0.0,0.0446,0.205,87.086
116,craig morgan,more trucks than cars,Country,1,212293,4,0.485,0.904,1,-4.2,0.0615,0.412,0.0,0.24,0.698,168.076
117,buck owens,right after the dance,Country,1,137618,4,0.612,0.466,9,-9.97,0.0523,0.174,0.0374,0.0515,0.738,136.165
118,florida georgia line,smile,Country,0,169867,4,0.558,0.875,9,-2.931,0.0323,0.00505,0.0,0.0419,0.963,130.002
119,alan jackson,turn your eyes upon jesus,Country,1,227533,3,0.431,0.182,0,-11.926,0.031,0.932,4.48e-06,0.0943,0.256,97.436
120,doc watson,the clouds are gwine to roll away,Country,1,171133,4,0.597,0.41,10,-13.273,0.0595,0.824,4.84e-06,0.84,0.83,136.271
121,frank fairfield,john hardy,Country,0,306960,4,0.556,0.501,1,-9.079,0.0294,0.989,0.175,0.14,0.785,109.4
122,diamond rio,have yourself a merry little christmas,Country,1,239387,4,0.537,0.535,0,-8.151,0.047,0.672,0.0,0.124,0.259,175.708
123,edith frost,dreamers,Country,1,212387,4,0.193,0.161,2,-17.642,0.0321,0.799,0.00558,0.141,0.101,94.709
124,barbara mandrell,watching my world walk away,Country,0,167960,3,0.315,0.251,11,-11.845,0.0323,0.847,1.99e-05,0.223,0.25,75.586
125,bill anderson,to be alone,Country,1,152827,1,0.41,0.248,5,-15.57,0.0364,0.929,1.45e-05,0.122,0.36,121.528
126,gary stewart,an empty glass,Country,1,221133,4,0.613,0.308,7,-14.984,0.0298,0.105,0.00936,0.0977,0.279,89.362
127,bobby bare,daddy what if,Country,1,190733,4,0.531,0.322,9,-16.519,0.0988,0.887,0.00424,0.809,0.6,94.087
128,canaan smith,american muscle,Country,1,150373,4,0.522,0.927,0,-3.745,0.0779,0.00418,1.05e-05,0.327,0.796,162.001
129,ashton shepherd,not right now,Country,1,217240,4,0.44,0.819,2,-3.164,0.0824,0.309,0.0,0.188,0.779,168.269
130,brett eldredge,time well spent,Country,1,215227,4,0.529,0.888,4,-5.438,0.0817,0.0081,0.0,0.297,0.585,91.983
131,cyndi thomson,if you could only see,Country,1,192707,3,0.599,0.3,5,-9.84,0.0278,0.726,0.0,0.125,0.37,115.824
132,buddy jewell,why we said goodbye,Country,1,222933,4,0.338,0.26,9,-10.426,0.0308,0.776,0.000172,0.115,0.251,140.178
133,aaron tippin,bayou baby,Country,1,160440,4,0.661,0.688,8,-10.32,0.0271,0.213,0.0,0.0702,0.89,100.563
134,george jones,flame in my heart,Country,1,151067,3,0.558,0.249,9,-13.136,0.0268,0.741,0.0,0.103,0.533,84.717
135,charlie landsborough,saints,Country,1,297133,4,0.68,0.448,9,-9.412,0.0564,0.149,2.56e-05,0.0955,0.792,134.673
136,gillian welch,orphan girl,Country,1,237293,4,0.617,0.245,8,-11.646,0.029,0.819,0.0293,0.0981,0.303,118.195
137,connie smith,rings of gold,Country,0,160413,4,0.499,0.64,0,-12.31,0.0552,0.409,2.1e-06,0.179,0.67,123.145
138,emmylou harris,defying gravity,Country,1,257920,4,0.447,0.198,6,-16.786,0.0331,0.42,0.0115,0.146,0.295,118.317
139,bill anderson,farther along,Country,1,254867,3,0.64,0.35,4,-10.976,0.0251,0.429,9.75e-06,0.118,0.369,108.301
140,alecia nugent,breaking new ground,Country,1,187120,4,0.622,0.827,7,-6.139,0.0366,0.562,5.43e-05,0.145,0.797,132.997
141,don williams,falling in love,Country,1,137760,4,0.731,0.277,2,-15.257,0.0336,0.911,0.278,0.0815,0.87,137.813
142,doug stone,a jukebox with a country song,Country,1,207640,4,0.679,0.709,2,-6.246,0.0292,0.465,0.000141,0.254,0.81,111.811
143,carlene carter,hallelujah in my heart,Country,1,163933,4,0.717,0.719,5,-6.707,0.0232,0.358,0.0,0.185,0.896,106.874
144,bill monroe,wayfaring stranger,Country,1,185907,4,0.365,0.142,8,-12.33,0.0312,0.827,0.0,0.271,0.475,104.259
145,eastmountainsouth,hard times,Country,1,225627,4,0.606,0.438,6,-8.855,0.0273,0.687,4.99e-05,0.0931,0.327,125.989
146,chuck wicks,fix me,Country,1,223585,4,0.682,0.605,3,-7.983,0.0394,0.185,1.81e-05,0.102,0.218,125.965
147,amanda wilkinson,pontiacs,Country,1,215560,4,0.569,0.478,5,-7.249,0.0426,0.478,0.0,0.145,0.244,139.362
148,david mayfield,the one i hate,Country,1,244220,3,0.556,0.373,9,-6.113,0.0269,0.722,0.000495,0.104,0.264,111.697
149,alison krauss,i will,Country,1,244507,4,0.552,0.212,1,-13.864,0.0284,0.872,0.012,0.0885,0.557,109.636
150,charlie landsborough,i say you,Country,1,195733,4,0.633,0.771,9,-7.745,0.028,0.0705,2.29e-05,0.131,0.819,134.029
151,bryan white,tree of hearts,Country,1,225933,4,0.561,0.281,5,-10.56,0.0273,0.489,0.0,0.304,0.375,79.759
152,billy dean,billy the kid,Country,1,189800,4,0.606,0.55,2,-10.659,0.0249,0.124,0.0,0.0818,0.761,168.582
153,george hamilton iv,if you want me to,Country,1,111480,4,0.613,0.702,5,-10.131,0.0448,0.633,0.124,0.132,0.965,89.731
154,eddy arnold,jolly old saint nicholas,Country,1,139493,4,0.499,0.148,3,-15.649,0.039,0.913,0.00483,0.108,0.411,126.43
155,clay walker,ordinary people,Country,1,230693,4,0.413,0.401,2,-8.642,0.0341,0.371,0.0,0.178,0.26,137.372
156,don williams,why lord goodbye,Country,1,135267,4,0.719,0.391,9,-12.92,0.0342,0.623,0.364,0.0908,0.798,140.966
157,craig campbell,my little cowboy,Country,1,241547,3,0.515,0.572,6,-6.687,0.025,0.399,0.0,0.213,0.233,137.822
158,carl smith,if teardrops were pennies,Country,1,181973,4,0.674,0.198,4,-13.84,0.0306,0.89,2.49e-06,0.188,0.622,129.326
159,alecia nugent,a dozen white roses,Country,1,247520,3,0.598,0.398,9,-7.56,0.0265,0.62,0.0,0.196,0.404,135.848
160,amber lawrence,the lifesaver,Country,1,227021,4,0.674,0.32,0,-9.793,0.0324,0.836,1.08e-05,0.111,0.503,80.538
161,carlene carter,ring of fire,Country,1,185493,4,0.616,0.549,7,-11.23,0.0406,0.0276,0.0208,0.15,0.367,117.357
162,bill monroe,happy on my way,Country,1,129267,4,0.539,0.44,9,-12.023,0.0529,0.664,0.0,0.318,0.903,143.741
163,diamond rio,miss that girl,Country,1,180200,4,0.672,0.488,2,-10.017,0.0306,0.59,1.4e-05,0.129,0.417,97.779
164,george strait,give it away,Country,1,209320,4,0.674,0.646,5,-5.876,0.027,0.486,8.37e-05,0.262,0.613,148.1
165,buck owens,crying time,Country,1,178627,4,0.536,0.367,7,-10.5,0.0957,0.278,5.86e-06,0.952,0.456,75.749
166,carlene carter,judgement day,Country,1,267493,4,0.558,0.439,9,-7.923,0.0285,0.76,0.000288,0.146,0.21,77.981
167,chris cagle,maria,Country,1,282320,4,0.495,0.769,11,-6.383,0.0374,0.102,0.0,0.357,0.59,156.695
168,edith frost,merry go round,Country,1,258507,3,0.376,0.406,4,-9.322,0.0271,0.736,0.187,0.0893,0.173,107.144
169,corb lund,the horse i rode in on,Country,1,231867,3,0.686,0.33,11,-9.99,0.0352,0.647,0.0,0.135,0.252,140.892
170,the devil makes three,goodbye old friend,Country,1,260027,4,0.289,0.295,9,-11.83,0.0302,0.887,0.0038,0.204,0.362,71.529
171,ernest tubb,watching my past go by,Country,1,171665,4,0.617,0.282,7,-10.793,0.031,0.966,0.0,0.371,0.565,108.754
172,barbara mandrell,fooled by a feeling,Country,1,184695,4,0.668,0.324,2,-17.526,0.0412,0.782,0.0272,0.0745,0.701,135.96
173,alison krauss,jewels,Country,1,176133,3,0.509,0.0949,2,-18.441,0.0306,0.935,0.000179,0.14,0.185,91.507
174,dolly parton,walking on sunshine,Country,1,191600,4,0.572,0.826,11,-8.034,0.0407,0.261,8.29e-06,0.244,0.635,118.104
175,cadillac sky,trapped under the ice,Country,1,172533,4,0.55,0.404,2,-8.462,0.0263,0.438,2.38e-05,0.157,0.337,126.778
176,dwight yoakam,no such thing,Country,1,199467,4,0.648,0.859,7,-2.852,0.0263,0.0591,0.21,0.324,0.919,127.217
177,emmylou harris,the pearl,Country,1,300840,4,0.494,0.576,9,-8.651,0.0266,0.553,0.00624,0.114,0.731,142.391
178,emmylou harris,crescent city,Country,1,212840,4,0.557,0.58,4,-6.561,0.0269,0.579,0.0,0.141,0.518,123.701
179,cadillac sky,ballad of restored confidence,Country,1,248893,3,0.377,0.425,5,-11.33,0.0346,0.753,0.00442,0.117,0.488,116.384
180,dustin kensrue,blanket of ghosts,Country,1,313267,3,0.421,0.339,4,-9.532,0.0358,0.143,0.000233,0.293,0.134,111.929
181,charlie landsborough,why worry,Country,1,244733,4,0.498,0.303,2,-11.101,0.0266,0.591,0.111,0.207,0.351,81.744
182,billy dean,let them be little,Country,1,225653,4,0.54,0.516,1,-5.221,0.0246,0.266,0.0,0.204,0.285,135.9
183,dolly parton,working girl,Country,1,195627,4,0.674,0.618,4,-7.315,0.048,0.468,0.0,0.0798,0.688,170.449
184,don williams,expert at everything,Country,1,165173,4,0.786,0.38,2,-14.381,0.0329,0.934,0.346,0.102,0.754,99.571
185,gene clark,white light,Country,1,217933,3,0.434,0.505,4,-8.945,0.0295,0.428,2.62e-05,0.0683,0.721,81.129
186,charly mcclain,radio heart,Country,1,189707,4,0.65,0.365,9,-13.085,0.0288,0.365,0.0,0.0995,0.563,97.76
187,cassadee pope,everybody sings,Country,1,217800,4,0.565,0.829,5,-4.715,0.0442,0.213,0.0,0.12,0.866,172.049
188,brenn hill,cottonwood,Country,1,149707,1,0.589,0.193,5,-17.136,0.0946,0.856,0.0,0.11,0.271,129.529
189,fletcher c johnson,out on my own,Country,1,121516,4,0.492,0.589,9,-4.448,0.0374,7.36e-05,0.915,0.115,0.652,120.878
190,dolly parton,seven bridges road,Country,1,209093,4,0.351,0.48,1,-9.575,0.0373,0.23,2.12e-05,0.146,0.545,147.265
191,bill monroe,memories of you,Country,1,181787,3,0.571,0.395,10,-9.851,0.0341,0.761,1.48e-06,0.0841,0.473,103.41
192,barrett baber,kiss me hello,Country,1,216813,4,0.672,0.779,8,-5.296,0.038,0.192,0.0,0.0888,0.822,149.994
193,frankie laine,strange lady in town,Country,0,153253,4,0.557,0.565,1,-9.154,0.0478,0.857,0.0,0.111,0.658,102.87
194,connie smith,what would i do without you,Country,1,140467,4,0.664,0.29,3,-11.258,0.0354,0.801,0.0,0.259,0.502,94.249
195,the band perry,back to me without you,Country,1,236573,4,0.578,0.518,11,-4.965,0.0327,0.378,0.0,0.0967,0.199,141.893
196,dolly parton,mammie,Country,1,190589,3,0.383,0.274,3,-13.129,0.0486,0.594,2.35e-05,0.143,0.679,177.808
197,carlene carter,the winding stream,Country,1,202600,3,0.556,0.269,2,-10.302,0.0273,0.106,0.0,0.173,0.329,133.951
198,eric church,love your love the most,Country,1,170387,4,0.333,0.524,10,-6.788,0.0301,0.194,0.0,0.124,0.438,73.393
199,the country dance kings,the dance,Country,1,213907,4,0.489,0.411,7,-8.354,0.0273,0.784,0.00165,0.151,0.201,133.306
200,allison moorer,baby dreamer,Country,1,262493,4,0.605,0.412,7,-8.674,0.0266,0.123,0.000677,0.0938,0.38,62.1
201,angaleena presley,better off red,Country,1,218674,4,0.564,0.286,10,-10.23,0.0293,0.351,0.0,0.11,0.162,143.564
202,charlie landsborough,down to earth,Country,1,198120,3,0.441,0.55,9,-8.581,0.0339,0.24,0.0019,0.168,0.602,171.97
203,don williams,heartbeat in the darkness,Country,1,234453,4,0.682,0.349,6,-13.498,0.0298,0.368,0.00141,0.149,0.617,82.058
204,alan jackson,right in the palm of your hand,Country,1,219160,4,0.681,0.387,5,-12.546,0.0286,0.145,0.0,0.136,0.241,127.162
205,craig campbell,family man,Country,1,219187,4,0.554,0.621,11,-7.076,0.0269,0.162,2.56e-05,0.155,0.151,155.817
206,charley pride,back to the country roads,Country,1,114547,4,0.392,0.36,9,-13.153,0.0388,0.782,0.0,0.187,0.575,173.073
207,eddy arnold,song sung blue,Country,1,169431,4,0.414,0.32,1,-13.451,0.0301,0.582,0.00295,0.0692,0.618,110.16
208,buck owens,we split the blanket,Country,1,124000,4,0.618,0.504,2,-8.354,0.0262,0.313,1.64e-05,0.0585,0.873,87.439
209,gina jeffreys,angel,Country,1,244227,4,0.614,0.707,0,-7.409,0.031,0.249,0.0,0.094,0.513,91.847
